Month,Year,GP_Index_No,pluno,Item_Name,Net_Qty,O_B,Closing_Stock
November,2023,I/008926J,8926,DYNA GLYCERINE & AROMA SOAP 100GM,22,22,0
November,2023,I/008993C,8993,DETTOL COOL 125 GM,104,109,5
November,2023,I/008999D,8999,DOVE CREAM B/BATH 3 X 100GMS,34,34,96
November,2023,I/009000X,9000,T/SOAP DETTOL SKIN CARE 70 G,319,464,1105
November,2023,I/009015H,9015,SOAP HAMAM 100 GMS.,114,278,164
November,2023,I/009023E,9023,J&J BABY SOAP  150G,39,85,118
November,2023,I/009026S,9026,LUX SCARLET BLOSSOM 240ML,22,146,124
November,2023,I/009031A,9031,SOAP DOVE 75 G,122,122,240
November,2023,I/009043A,9043,T/SOAP CINTHOL GODREJ,79,79,0
November,2023,I/009045E,9045,SOAP PEARS  SOFT & FRESH 80 GMS.,93,93,360
November,2023,I/009064S,9064,SOAP DETTOL COOL 70 GM,133,175,42
November,2023,I/009065A,9065,SOAP LIRIL 75 GMS. NEW,253,255,146
November,2023,I/009066H,9066,HAMAM 150G,193,467,694
November,2023,I/009076G,9076,SOAP CINTHOL  125 GM  GODREJ DEO,53,53,80
November,2023,I/009085A,8602,T/SOAP DETTOL 75G,67,67,0
November,2023,I/009091E,9091,SOAP WILD STONE 125GM FOREST,113,356,243
November,2023,I/009092T,9092,SOAP WILD STONE SOAP 125GM MUSK,72,266,314
November,2023,I/009095T,9095,SOAP LIFEBOUY TOTAL 104 GMS.,298,298,504
November,2023,I/009109D,9109,DETTOL LIQ H/WASH SKIN CARE  185 ML,15,15,192
November,2023,I/009124G,9124,ALEO VERA 100 GM BY 3 GET 1 FREE,8,13,149
November,2023,I/009126G,9126,GODREJ NO JASMIN 100GM BUY 3 GET 1,2,2,144
November,2023,I/009142J,9142,FIAMA S/GEL PEACH AVORCADO,10,67,69
November,2023,I/009145T,9145,MEDIMIX- TURMERIC,64,528,464
November,2023,I/009146T,9146,MEDIMIX-SANDLE B/BAR 125 GM,68,109,101
November,2023,I/009162M,9162,MYSORE SANDAL BATH TABLET 150GM,72,274,202
November,2023,I/009163M,9163,SOAP MYSORE SANDLE JASMINE 150G,53,79,26
November,2023,I/009179P,9179,SOAP NIMA ROSE 100 GMS,194,282,88
November,2023,I/009180H,9180,SOAP MYSORE SANDAL 75 GMS.,20,20,0
November,2023,I/009211L,9211,BAR SURF EXCEL 250 GMS.,2,3,361
November,2023,I/009232A,9232,ARIEL FRONT LOAD 1 KG,2,0,22
November,2023,I/009234S,9234,SUPER NIRMA DETERGENT CAKE 250GM,4,4,0
November,2023,I/009251A,9251,ARIEL MATIC 1 KG,1,1,0
November,2023,I/009253D,9253,D/PDR ARIEL COMP 1 KG,2,2,0
November,2023,I/009254E,9254,DET PDR ARIEL 500GM,4,4,0
November,2023,I/009281S,9281,SURF EXCEL BLUE 1 KG,1,0,23
November,2023,I/009284X,9284,DET/POWDER TIDE 425 GM,8,8,0
November,2023,I/009292M,9292,MR. WHITE DET PDR 3KG ACTIVE POWER,1,1,0
November,2023,I/009343S,9343,SURF EXCELMATIC TOP LOAD LIQ 1.2,1,0,47
November,2023,I/009355P,9355,MINERALIZE COMPACT PDR 9GM,2,25,23
November,2023,I/009370H,9370,HENKO MATIC DT PDR TOP LOAD 1KG,46,46,0
November,2023,I/009371H,9371,HENKO MATIC  DT PDR FRONT LOAD  1KG,32,70,38
November,2023,I/009372H,9372,HENKO MATIC FRONT LOAD 2KG,15,21,12
November,2023,I/009399K,9399,DENVER BLACK CODE COLONGE TALC 300,1,73,72
November,2023,I/009400K,9400,ICE COLD COLONGE TALC 300GM,1,98,97
November,2023,I/009420L,9420,T/PDR  NYCIL 200G,16,80,64
November,2023,I/009421P,9421,PRICKLY HEAT NYCIL SANDLWOOD,1,2,1
November,2023,I/009428T,9428,T/PDR WILD STONE 300GMS HYDRA,11,41,30
November,2023,I/009429U,9429,T/PDR WILD STONE 100GMS ULTRA,21,62,41
November,2023,I/009434H,9434,HIMAINI TALC PDR ICE COOL 100GM,7,121,186
November,2023,I/009436N,9436,T/PDR NAVRATNA COOL 100GM,6,89,83
November,2023,I/009444K,9444,EVE PERFUEM DEO TALC 400GMS,2,24,22
November,2023,I/009447P,9447,NAVRATNA COOL TALC 400GM HIMANI,2,16,14
November,2023,I/009452E,9452,T/POWDER PONDS 400 GMS,48,112,64
November,2023,I/009457S,9457,J&J BABY POWDER 400 GMS,6,23,17
November,2023,I/009460X,9460,J&J SHOWER TO SHOWER 150GM,1,2,1
November,2023,I/009481E,9481,EVA FRESH TAL 400 GM,2,2,0
November,2023,I/009485R,9485,TALC SEDRET TEMPTATION 300GM,1,47,94
November,2023,I/009501S,9501,J&J BABY SHAMPOO 200 ML,4,5,1
November,2023,I/009553G,9553,AMLA HEENA SHAMPO 500ML,15,46,31
November,2023,I/009566N,9566,NYLE SHAMPOO  SHIKAKAI 450ML,9,23,14
November,2023,I/009567N,9567,NYLE HERBAL REETHA SHAMPOO 450ML,10,19,9
November,2023,I/009594T,9594,H/OIL SILK N SHINE 50ML,5,64,59
November,2023,I/009595E,9595,H/OIL SILK N SHINE 100ML,22,85,63
November,2023,I/009596L,9596,H/OIL ALMOND DROPS 100 ML,40,40,0
November,2023,I/009597P,9597,H/OIL HAIR & CARE 100 ML,17,133,116
November,2023,I/009599Y,9599,HAIR  N CARE NON STKY 300MLH/OIL,23,99,76
November,2023,I/009604X,9604,H/OIL SHANTI AMLA BADAM 200ML,8,50,42
November,2023,I/009614H,9614,NIHAR NATURAL JASMINE H/OIL 400ML,5,108,103
November,2023,I/009616H,9616,HAIR&CARE ALMOND GOLD 200ML HAIR,21,43,22
November,2023,I/009619L,9619,LIVON 100ML,14,152,210
November,2023,I/009627K,9627,HAIROIL KEOKARPIN 200ML,7,24,17
November,2023,I/009637Y,9637,NAVRATNA AYURVEDIC OIL EXTRA,5,5,0
November,2023,I/009641D,9641,CLEAR ANTI DANDRUFF HAIR OIL 150 ML,12,48,36
November,2023,I/009644G,9644,PARACHUTE AYURVEDIC OIL 190 ML,7,28,21
November,2023,I/009646E,9646,EMAMI HAIR OIL (7 IN 1) 100ML,8,9,1
November,2023,I/009657L,9657,H/OIL CLINIC PLUS 200 ML,6,8,2
November,2023,I/009658P,9658,PARACHUTE ADVANCED BODY LOTION,9,9,0
November,2023,I/009660D,9660,H/OIL SHANTI AMLA 300ML,49,278,229
November,2023,I/009662L,9662,H/OIL DABUR AMLA 200 ML.,38,41,3
November,2023,I/009666S,9666,H/OIL DABUR VATIKA 300 ML,6,39,33
November,2023,I/009670B,9670,H/O BRAHMI AMLA 400ML,7,27,68
November,2023,I/009675K,9675,KESH KING AYURVEDIC MIDICINAL OIL,20,49,29
November,2023,I/009682H,9682,JASMINE H/OIL 300ML PARACHUTE,41,207,166
November,2023,I/009685P,9685,H/OIL HAIR & CARE 200 ML,17,111,166
November,2023,I/009686H,9686,H/OIL PARCHUTE JASMINE 200 ML,19,55,36
November,2023,I/009689T,9689,BABY OIL DABUR LAL 60 ML,1,1,0
November,2023,I/009690K,9690,J&J BABY OIL 500 ML,9,36,75
November,2023,I/009692A,9692,BABY OIL JOHNSON 200 ML,3,8,5
November,2023,I/009697H,9697,BABY OIL HIMALYA 200ML,18,36,18
November,2023,I/009731Y,9731,H/DYE KESH KALA VASMOL 50 ML,19,186,167
November,2023,I/009746W,9746,WHISPER MAXI  FIT 15 PADS,44,156,112
